Customer Lifetime Value,UnredeemedPoints,PointsRedeemedRatio,KMPerRedeemedPoint,AvgDistancePerFlight,FlightsWithCompanionsRatio,TotalFlights,kmeans_cluster,outlier
7919.2,32446.0,0.3879037126471476,25.786888434977143,2356.5777777777776,0.2,225.0,0,False
2887.74,15141.0,0.5533628318584071,18.077434831280986,1384.1412244897958,0.2244897959183673,245.0,0,False
2838.0699999999997,38293.0,0.11336219870800429,88.24158496732026,2047.539336492891,0.2417061611374407,211.0,0,False
4170.57,23544.0,0.3540917944638007,28.248369102037653,3375.9416666666666,0.1574074074074074,108.0,0,False
6622.05,32058.0,0.2535798272369554,39.4482141217519,2373.6491712707184,0.2762430939226519,181.0,0,False
48356.96,34589.0,0.241502565676944,41.41853264323981,1932.806355932204,0.288135593220339,236.0,0,False
5143.88,25620.0,0.2536487313193696,39.43763638451821,2008.0906432748536,0.2514619883040935,171.0,0,False
2465.62,18891.0,0.4855392156862745,20.60162656346402,2239.673170731708,0.3658536585365853,164.0,0,False
5845.43,14293.0,0.5823202805376972,17.179866512771618,2194.507692307692,0.1794871794871795,156.0,0,False
8807.61,15241.0,0.0,0.0,1452.077142857143,0.08571428571428569,105.0,1,False
7861.8,28541.0,0.2992634421802111,33.42445647715153,1921.7485849056604,0.2358490566037736,212.0,0,False
7334.33,14810.0,0.643519075701047,15.544088273798392,2047.1487684729063,0.1921182266009852,203.0,0,False
34090.04,4419.000000000002,0.4841232780761149,20.66409452616349,3060.5,0.1071428571428571,28.0,1,False
4892.63,31742.0,0.1954681401125361,51.1731846473029,2156.544262295082,0.174863387978142,183.0,0,False
4458.11,2384.0,0.9138852766941192,10.94584980237154,1833.9735099337747,0.304635761589404,151.0,1,False
2471.5300000000007,23365.0,0.16398311149277217,61.00432031420467,2025.96231884058,0.2463768115942029,138.0,0,False
3873.6499999999996,31468.0,0.3258783204798628,30.694563502498028,2122.389545454545,0.2045454545454545,220.0,0,False
12786.67,13863.0,0.6291530683216522,15.89911560865683,1824.05512195122,0.2780487804878049,205.0,0,False
2534.3099999999995,44703.0,0.1532881278884764,65.24936364759668,1865.9473498233208,0.2579505300353357,283.0,0,False
6273.91,37341.0,0.0,0.0,2611.92027972028,0.1538461538461538,143.0,0,False
10153.89,24239.0,0.2721021021021021,36.76466173711511,1708.331282051282,0.2461538461538461,195.0,0,False
3561.04,22997.0,0.0,0.0,1474.6884615384615,0.0897435897435897,156.0,0,False
8007.4,9783.0,0.6122626927192739,16.33996633868462,1856.0279411764704,0.2867647058823529,136.0,1,False
4392.98,36647.0,0.210789275331108,47.45464854924397,2310.876119402985,0.2885572139303483,201.0,0,False
4770.55,21415.0,0.2761045194875435,36.22834231145935,1750.9650887573964,0.1597633136094674,169.0,0,False
7482.64,0.0,0.0,0.0,0.0,0.0,0.0,1,False
12898.59,8570.0,0.6977392163086799,14.336966081989589,1903.5449664429527,0.2147651006711409,149.0,1,False
14024.36,9920.0,0.7950286174762898,12.58260779166775,1773.4102564102564,0.1978021978021978,273.0,0,False
7737.27,17635.0,0.6041615227492088,16.555788378659532,2820.351898734177,0.2594936708860759,158.0,0,False
2688.88,22041.0,0.2524673562828557,39.622998387963456,2091.869503546099,0.1914893617021276,141.0,0,False
24249.339999999997,20131.0,0.4129020968823821,24.226310213306963,1895.006077348066,0.2320441988950276,181.0,0,False
5619.69,7480.0,0.3876381498158002,25.801478352692715,2106.3793103448274,0.1896551724137931,58.0,1,False
4595.46,19860.0,0.3967376446644998,25.213620702855827,1925.819298245614,0.1286549707602339,171.0,0,False
5205.75,29047.0,0.3108005504674228,32.18480800061073,2097.4567164179102,0.2388059701492537,201.0,0,False
8382.63,2083.0,0.0,0.0,3471.833333333333,0.0,6.0,1,False
5129.74,29412.0,0.3325769265680312,30.076112172489083,2129.4468599033817,0.2657004830917874,207.0,0,False
9002.41,37755.0,0.0,0.0,2818.2037313432834,0.2238805970149253,134.0,0,False
8396.61,36164.0,0.1604605812981706,62.34152199074074,2187.3329949238578,0.2284263959390862,197.0,0,False
13916.93,1265.0,0.0,0.0,2110.0,1.0,6.0,1,False
4949.53,4126.999999999998,0.7034988145700122,14.2187091503268,2400.5103448275863,0.293103448275862,58.0,1,False
24543.199999999997,35702.0,0.0,0.0,2319.242857142857,0.1818181818181818,154.0,0,False
4202.66,27147.0,0.2708691448216588,36.93007436787308,1939.790625,0.10937499999999999,192.0,0,False
7166.34,14564.0,0.0,0.0,1755.0361445783133,0.2048192771084337,83.0,1,False
4923.18,49976.0,0.0,0.0,2127.329361702128,0.2936170212765957,235.0,0,False
6960.92,29018.0,0.0,0.0,2285.3700787401576,0.1417322834645669,127.0,0,False
2089.34,29216.0,0.0,0.0,1340.6866972477064,0.3027522935779816,218.0,0,False
12866.89,0.0,0.0,0.0,0.0,0.0,0.0,1,False
7507.46,41692.0,0.2111109008685121,47.37759254279825,2175.274897119342,0.1275720164609053,243.0,0,False
12765.78,5238.0,0.4648549243972211,21.518461538461537,1439.8382352941176,0.4411764705882353,68.0,1,False
2725.6800000000003,17558.0,0.4104492646565039,24.372153141361256,4381.252941176471,0.4852941176470588,68.0,0,False
7590.05,2260.0,0.0,0.0,2826.0,0.0,8.0,1,False
8044.87,14319.0,0.513637444380286,19.47357492395186,3099.783157894737,0.2947368421052631,95.0,1,False
2453.5699999999997,14233.0,0.0,0.0,1655.5581395348838,0.4302325581395348,86.0,1,False
16922.13,3191.0,0.0,0.0,1773.1666666666667,0.1111111111111111,18.000000000000014,1,False
11124.21,29787.0,0.2651898265781878,37.72027906976744,1894.8271028037384,0.2102803738317757,214.0,0,False
19435.63,25228.0,0.3852227312603568,25.9677947874494,2062.808542713568,0.3618090452261306,199.0,0,False
2863.04,41044.0,0.2052205569110414,48.74032836384223,2161.297071129707,0.2719665271966527,239.0,0,False
5235.57,32184.0,0.0,0.0,2495.622480620155,0.4496124031007752,129.0,0,False
3351.21,46606.0,0.1269178172008767,78.81019926199262,2471.9402777777777,0.2083333333333333,216.0,0,False
32613.689999999995,36800.0,0.2159035220420599,46.32919174972861,2952.538993710692,0.10062893081760999,159.0,0,False
